#time,V
0,1.06
2.5e-09,1.06
2.6e-09,1.065
4.5e-09,1.065
4.6e-09,1.07
6.5e-09,1.07
6.6e-09,1.075
8.5e-09,1.075
8.6e-09,1.08
1.05e-08,1.08
1.06e-08,1.085
1.25e-08,1.085
1.26e-08,1.09
1.45e-08,1.09
1.46e-08,1.095
1.65e-08,1.095
1.66e-08,1.1
1.85e-08,1.1
1.86e-08,1.105
2.05e-08,1.105
2.06e-08,1.11
2.25e-08,1.11
2.26e-08,1.115
2.45e-08,1.115
2.46e-08,1.12
2.65e-08,1.12
2.66e-08,1.125
2.85e-08,1.125
2.86e-08,1.13
3.05e-08,1.13
3.06e-08,1.135
3.25e-08,1.135
3.26e-08,1.14
3.45e-08,1.14
3.46e-08,1.145
3.65e-08,1.145
3.66e-08,1.15
3.85e-08,1.15
3.86e-08,1.155
4.05e-08,1.155
4.06e-08,1.16
4.25e-08,1.045
4.26e-08,1.04
4.45e-08,1.04
4.46e-08,1.035
4.65e-08,1.035
4.66e-08,1.03
4.85e-08,1.03
4.86e-08,1.025
5.05e-08,1.025
5.06e-08,1.02
5.25e-08,1.02
5.26e-08,1.015
5.45e-08,1.015
5.46e-08,1.01
5.65e-08,1.01
5.66e-08,1.005
5.85e-08,1.005
5.86e-08,1.0
6.05e-08,1.0
6.06e-08,0.995
